trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
160,False,"{'a': 0.2, 'e': 0.3840432893753353}",20,15,4.076703933438338,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.2, 'e': 0.3817459286134471}",25,19,-1.1392872718047449,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
162,False,"{'a': 0.2, 'e': 0.37946231074621756}",25,0,-63.87530123225203,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
163,False,"{'a': 0.2, 'e': 0.37719235356315695}",20,5,-23.357011327936355,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 0}",1
164,False,"{'a': 0.2, 'e': 0.37493597534556133}",20,4,12.380769866924641,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
165,False,"{'a': 0.2, 'e': 0.3726930948635714}",20,1,-63.68016655453113,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 1}",1
166,False,"{'a': 0.2, 'e': 0.37046363137324734}",25,18,5.392163706835333,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.2, 'e': 0.3682475046136629}",30,22,-4.122590718632105,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
168,False,"{'a': 0.2, 'e': 0.36604463480401533}",25,3,-14.681420089758864,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 0}",1
169,False,"{'a': 0.2, 'e': 0.3638549426407535}",20,12,-9.048227961558409,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
170,False,"{'a': 0.2, 'e': 0.36167834929472326}",20,0,-11.779150330481867,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
171,False,"{'a': 0.2, 'e': 0.35951477640832885}",20,9,10.122796881225028,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.2, 'e': 0.3573641460927129}",30,16,21.54533429544015,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.2, 'e': 0.3552263809249515}",25,10,8.712103641427523,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
174,False,"{'a': 0.2, 'e': 0.353101403945268}",30,19,1.7535948121152503,"{0: 8, 1: 3, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.2, 'e': 0.35098913865426146}",20,4,14.141239824901755,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.2, 'e': 0.34888950901015336}",20,0,12.619928279180288,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
177,False,"{'a': 0.2, 'e': 0.34680243942604977}",25,0,-61.341544794178596,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
178,False,"{'a': 0.2, 'e': 0.3447278547672202}",20,12,-40.017516177555926,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
179,False,"{'a': 0.2, 'e': 0.3426656803483929}",30,2,-21.896727052780168,"{0: 25, 1: 0, 2: 2, 3: 0, 4: 1}",1
180,False,"{'a': 0.2, 'e': 0.3406158419310661}",25,19,13.967156281700136,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.2, 'e': 0.3385782657208353}",20,14,3.4095655997790457,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.2, 'e': 0.336552878364737}",25,14,18.219530347365364,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.2, 'e': 0.3345396069486076}",20,7,-2.6401593332256583,"{0: 10, 1: 3, 2: 0, 3: 0, 4: 0}",1
